candidate_id,ligand,solvent,base,temperature,cost,risk,runtime_minutes,yield
c01,L1,THF,B1,70,1.0,0.10,60,0.34
c02,L1,THF,B2,90,1.0,0.12,60,0.48
c03,L1,Dioxane,B1,110,1.2,0.16,75,0.55
c04,L2,Dioxane,B2,90,1.1,0.11,70,0.61
c05,L2,DMF,B1,110,1.3,0.22,80,0.67
c06,L2,DMF,B2,130,1.3,0.24,85,0.74
c07,L3,THF,B1,90,1.0,0.08,55,0.43
c08,L3,THF,B2,110,1.0,0.09,55,0.58
c09,L3,Dioxane,B1,130,1.2,0.15,80,0.79
c10,L3,Dioxane,B2,150,1.2,0.19,90,0.72
c11,L4,DMF,B1,90,1.4,0.18,75,0.46
c12,L4,DMF,B2,110,1.4,0.21,80,0.63
c13,L4,THF,B1,130,1.1,0.14,65,0.69
c14,L4,THF,B2,150,1.1,0.16,70,0.76
c15,L5,Dioxane,B1,110,1.5,0.25,90,0.71
c16,L5,Dioxane,B2,130,1.5,0.28,95,0.68
